Status (stts_name),<SLIMSGUID>,Mouse Name,Weight of Refence,Weight Experimet day,Relative weight,Behavioral task,Session Number,Session Type,User (user_userName),Ear tag,Start date,End date,Sex_bin,strain,mutations,Birth date,licence,DG,ExpEnd,Created on
Removed,5a4702b3-e148-4e5d-87e3-a6bcb19a05dc,LB010,25.5,25.5,100.0,No Task,1,Naive,lbanterl,CPE-J26696,16/04/2018,11/05/2018,m,C57BL/6JRj,WT,25/02/2018,1628.6,2,0,12/04/2018 08:40:51
Removed,c8c64196-ed82-4210-9895-c607ff273150,LB011,25.4,23.2,91.33858267716536,WDT,18,Trained,lbanterl,CPE-J27125,24/04/2018,26/06/2018,m,C57BL/6JRj,WT,19/03/2018,1628.6,3,0,20/04/2018 16:59:41
Removed,b30a115b-ebcd-41f5-9631-22adf3fdac28,LB012,26.6,23.4,87.96992481203007,WDT,16,Trained,lbanterl,CPE-J27127,24/04/2018,14/06/2018,m,C57BL/6JRj,WT,19/03/2018,1628.6,3,0,20/04/2018 16:59:41
Removed,e389483f-51c5-4f64-977d-ff204ea73813,LB013,25.8,22.8,88.37209302325581,WDT,13,Trained,lbanterl,CPE-J27128,24/04/2018,11/06/2018,m,C57BL/6JRj,WT,19/03/2018,1628.6,3,0,20/04/2018 16:59:41
Removed,4dc17fbe-4d7f-4fa5-9407-000607167c0c,LB014,18.6,18.6,100.0,No Task,1,Naive,lbanterl,CPE-J27129,24/04/2018,15/05/2018,f,C57BL/6JRj,WT,19/03/2018,1628.6,2,0,20/04/2018 16:59:41
Removed,115bf4d0-addb-4ad7-affd-541008654030,LB015,19.0,19.0,100.0,No Task,1,Naive,lbanterl,CPE-J27130,24/04/2018,18/05/2018,f,C57BL/6JRj,WT,19/03/2018,1628.6,2,0,20/04/2018 16:59:41
Removed,44eb33c0-733c-460c-9eb2-3feb04a9f6cb,LB017,24.6,22.3,90.65040650406503,WDT,1,D1,lbanterl,CPE-J27759,28/05/2018,15/06/2018,m,C57BL/6JRj,WT,15/04/2018,1628.6,3,0,23/05/2018 15:02:03
Removed,5849980a-caa4-41fe-bc3c-c75db4b1eb46,LB018,19.0,17.0,89.47368421052632,WDT,7,Trained,lbanterl,CPE-J27762,28/05/2018,29/06/2018,f,C57BL/6JRj,WT,15/04/2018,1628.6,3,0,23/05/2018 15:02:03
Removed,92fbb764-cee6-4b69-9da8-b8c1935b386e,LB019,20.2,18.7,92.57425742574257,WDT,18,Trained,lbanterl,CPE-J27763,28/05/2018,19/07/2018,f,C57BL/6JRj,WT,15/04/2018,1628.6,3,0,23/05/2018 15:02:03
Removed,c713f7e7-ddd4-4df1-aa89-17f7723122d0,LB021,18.9,17.3,91.53439153439155,WDT,1,D1,lbanterl,CPE-J28479,27/06/2018,05/07/2018,m,C57BL/6JRj,WT,26/05/2018,1628.6,3,0,26/06/2018 11:11:10
Removed,70c1a4ad-9cce-4cd5-9f40-927736a8b101,LB022,23.1,20.2,87.44588744588744,WDT,1,D1,lbanterl,CPE-J28480,27/06/2018,06/07/2018,m,C57BL/6JRj,WT,26/05/2018,1628.6,3,0,26/06/2018 11:11:10
Removed,91795b61-d0a2-4586-ac17-5d9db5ffc69b,LB023,22.5,20.9,92.88888888888889,WDT,14,Trained,lbanterl,CPE-J28481,27/06/2018,26/08/2018,m,C57BL/6JRj,WT,26/05/2018,1628.6,3,0,26/06/2018 11:11:10
Removed,6eaa85b5-7d47-40d4-984a-66836bebfb11,LB024,19.0,19.0,100.0,No Task,1,Naive,lbanterl,CPE-J28482,02/07/2018,11/07/2018,f,C57BL/6JRj,WT,26/05/2018,1628.6,3,0,26/06/2018 11:11:10
Removed,1c45307f-f161-4c6f-acc8-116b4892c80b,LB025,22.0,22.0,100.0,No Task,1,Naive,lbanterl,CPE-J28483,02/07/2018,02/08/2018,f,C57BL/6JRj,WT,26/05/2018,1628.6,3,0,26/06/2018 11:11:10
Removed,0a8b98f8-a5a7-4a3c-9d97-a795bc9bacd3,LB026,21.2,18.7,88.20754716981132,WDT,13,Trained,lbanterl,CPE-J28694,09/07/2018,10/08/2018,f,C57BL/6JRj,WT,02/06/2018,1628.6,3,0,03/07/2018 10:12:33
Removed,bf1e134b-0bd2-4efe-8858-c3fbe3265569,LB027,25.4,22.3,87.79527559055119,WDT,10,Trained,lbanterl,CPE-J28690,09/07/2018,07/08/2018,m,C57BL/6JRj,WT,02/06/2018,1628.6,3,0,03/07/2018 10:12:32
Removed,261b1eee-9230-405b-950f-4022055a0649,LB028,17.0,16.6,97.64705882352942,WDT,1,D1,lbanterl,CPE-J29098,26/07/2018,09/08/2018,f,C57BL/6JRj,WT,16/06/2018,1628.6,3,0,19/07/2018 11:16:02
Removed,2e2a84fb-0320-42e7-9cfa-5fef53c8fa2c,LB030,24.9,22.5,90.36144578313254,WDT,1,D1,lbanterl,CPE-J29095,02/08/2018,16/08/2018,m,C57BL/6JRj,WT,16/06/2018,1628.6,3,0,19/07/2018 11:16:02
Removed,88fb374e-df45-4bb7-b5e5-3f73a7fe2fc8,LB031,25.3,24.1,95.25691699604742,WDT,1,D1,lbanterl,CPE-J29096,02/08/2018,17/08/2018,m,C57BL/6JRj,WT,16/06/2018,1628.6,3,0,19/07/2018 11:16:02
Removed,03cb3b12-01de-415b-a05e-f3372aaf98d0,LB032,23.2,20.2,87.06896551724138,WDT,6,Trained,lbanterl,CPE-J30569,01/10/2018,18/10/2018,m,C57BL/6JRj,WT,18/08/2018,1628.6,3,0,24/09/2018 15:20:31
Removed,601f65ca-cc2b-47bc-88e3-76540383bb49,LB033,21.3,18.3,85.91549295774648,WDT,1,D1,lbanterl,CPE-J30571,01/10/2018,11/10/2018,m,C57BL/6JRj,WT,18/08/2018,1628.6,3,0,24/09/2018 15:20:31
